,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y15B05P15BK,Y15B05P15BK,outer_bark,Y15,B05,P15,B05P15,B05P15BK,Y15B05P15,Y15BK,15B05P15BRKS170
Y15B05P15DM,Y15B05P15DM,dead_bryos,Y15,B05,P15,B05P15,B05P15DM,Y15B05P15,Y15DM,15B05P15DMOS176
Y15B05P15LM,Y15B05P15LM,live_bryos,Y15,B05,P15,B05P15,B05P15LM,Y15B05P15,Y15LM,15B05P15LMOS37
Y15B05P20BK,Y15B05P20BK,outer_bark,Y15,B05,P20,B05P20,B05P20BK,Y15B05P20,Y15BK,15B05P20BRKS175
Y15B05P20DM,Y15B05P20DM,dead_bryos,Y15,B05,P20,B05P20,B05P20DM,Y15B05P20,Y15DM,15B05P20DMOS171
Y15B05P24BK,Y15B05P24BK,outer_bark,Y15,B05,P24,B05P24,B05P24BK,Y15B05P24,Y15BK,15B05P24BRKS178
Y15B05P24DM,Y15B05P24DM,dead_bryos,Y15,B05,P24,B05P24,B05P24DM,Y15B05P24,Y15DM,15B05P24DMOS167
Y15B05P24LM,Y15B05P24LM,live_bryos,Y15,B05,P24,B05P24,B05P24LM,Y15B05P24,Y15LM,15B05P24LMOS44
Y15B05P25BK,Y15B05P25BK,outer_bark,Y15,B05,P25,B05P25,B05P25BK,Y15B05P25,Y15BK,15B05P25BRKS179
Y15B05P25DM,Y15B05P25DM,dead_bryos,Y15,B05,P25,B05P25,B05P25DM,Y15B05P25,Y15DM,15B05P25DMOS166
Y15B05P25LM,Y15B05P25LM,live_bryos,Y15,B05,P25,B05P25,B05P25LM,Y15B05P25,Y15LM,15B05P25LMOS45
Y15B05P25WD,Y15B05P25WD,inner_bark,Y15,B05,P25,B05P25,B05P25WD,Y15B05P25,Y15WD,15B05P25MSCS113
Y15B05P26BK,Y15B05P26BK,outer_bark,Y15,B05,P26,B05P26,B05P26BK,Y15B05P26,Y15BK,15B05P26BRKS180
Y15B05P26DM,Y15B05P26DM,dead_bryos,Y15,B05,P26,B05P26,B05P26DM,Y15B05P26,Y15DM,15B05P26DMOS165
Y15B05P26LM,Y15B05P26LM,live_bryos,Y15,B05,P26,B05P26,B05P26LM,Y15B05P26,Y15LM,15B05P26LMOS46
Y15B05P27DM,Y15B05P27DM,dead_bryos,Y15,B05,P27,B05P27,B05P27DM,Y15B05P27,Y15DM,15B05P27DMOS164
Y15B05P27LM,Y15B05P27LM,live_bryos,Y15,B05,P27,B05P27,B05P27LM,Y15B05P27,Y15LM,15B05P27LMOS47
Y15B05P27WD,Y15B05P27WD,inner_bark,Y15,B05,P27,B05P27,B05P27WD,Y15B05P27,Y15WD,15B05P27MSCS121
Y16B01P01BK,Y16B01P01BK,outer_bark,Y16,B01,P01,B01P01,B01P01BK,Y16B01P01,Y16BK,Y16B1P1BRKS87
Y16B01P01DM,Y16B01P01DM,dead_bryos,Y16,B01,P01,B01P01,B01P01DM,Y16B01P01,Y16DM,Y16B1P1DMS93
Y16B01P01LM,Y16B01P01LM,live_bryos,Y16,B01,P01,B01P01,B01P01LM,Y16B01P01,Y16LM,Y16B1P1LMS136
Y16B01P02BK,Y16B01P02BK,outer_bark,Y16,B01,P02,B01P02,B01P02BK,Y16B01P02,Y16BK,Y16B1P2BRKS7
Y16B01P02DM,Y16B01P02DM,dead_bryos,Y16,B01,P02,B01P02,B01P02DM,Y16B01P02,Y16DM,Y16B1P2DMS103
Y16B01P02LM,Y16B01P02LM,live_bryos,Y16,B01,P02,B01P02,B01P02LM,Y16B01P02,Y16LM,Y16B1P2LMS146
Y16B01P03BK,Y16B01P03BK,outer_bark,Y16,B01,P03,B01P03,B01P03BK,Y16B01P03,Y16BK,Y16B1P3BRKS19
Y16B01P03DM,Y16B01P03DM,dead_bryos,Y16,B01,P03,B01P03,B01P03DM,Y16B01P03,Y16DM,Y16B1P3DMS113
Y16B01P03LM,Y16B01P03LM,live_bryos,Y16,B01,P03,B01P03,B01P03LM,Y16B01P03,Y16LM,Y16B1P3LMS156
Y16B01P03WD,Y16B01P03WD,inner_bark,Y16,B01,P03,B01P03,B01P03WD,Y16B01P03,Y16WD,Y16B1P3WDS24
Y16B01P04BK,Y16B01P04BK,outer_bark,Y16,B01,P04,B01P04,B01P04BK,Y16B01P04,Y16BK,Y16B1P4BRKS30
Y16B01P04DM,Y16B01P04DM,dead_bryos,Y16,B01,P04,B01P04,B01P04DM,Y16B01P04,Y16DM,Y16B1P4DMS132
Y16B01P08BK,Y16B01P08BK,outer_bark,Y16,B01,P08,B01P08,B01P08BK,Y16B01P08,Y16BK,Y16B1P8BRKS42
Y16B01P08DM,Y16B01P08DM,dead_bryos,Y16,B01,P08,B01P08,B01P08DM,Y16B01P08,Y16DM,Y16B1P8DMS123
Y16B01P08LM,Y16B01P08LM,live_bryos,Y16,B01,P08,B01P08,B01P08LM,Y16B01P08,Y16LM,Y16B1P8LMS166
Y16B01P13BK,Y16B01P13BK,outer_bark,Y16,B01,P13,B01P13,B01P13BK,Y16B01P13,Y16BK,Y16B1P13BRKS53
Y16B01P13DM,Y16B01P13DM,dead_bryos,Y16,B01,P13,B01P13,B01P13DM,Y16B01P13,Y16DM,Y16B1P13DMS141
Y16B01P13LM,Y16B01P13LM,live_bryos,Y16,B01,P13,B01P13,B01P13LM,Y16B01P13,Y16LM,Y16B1P13LMS99
Y16B01P14BK,Y16B01P14BK,outer_bark,Y16,B01,P14,B01P14,B01P14BK,Y16B01P14,Y16BK,Y16B1P14BRKS65
Y16B01P14DM,Y16B01P14DM,dead_bryos,Y16,B01,P14,B01P14,B01P14DM,Y16B01P14,Y16DM,Y16B1P14DMS151
Y16B01P14LM,Y16B01P14LM,live_bryos,Y16,B01,P14,B01P14,B01P14LM,Y16B01P14,Y16LM,Y16B1P14LMS109
Y16B01P15BK,Y16B01P15BK,outer_bark,Y16,B01,P15,B01P15,B01P15BK,Y16B01P15,Y16BK,Y16B1P15BRKS77
Y16B01P15DM,Y16B01P15DM,dead_bryos,Y16,B01,P15,B01P15,B01P15DM,Y16B01P15,Y16DM,Y16B1P15DMS161
Y16B01P15LM,Y16B01P15LM,live_bryos,Y16,B01,P15,B01P15,B01P15LM,Y16B01P15,Y16LM,Y16B1P15LMS119
Y16B01P15WD,Y16B01P15WD,inner_bark,Y16,B01,P15,B01P15,B01P15WD,Y16B01P15,Y16WD,Y16B1P15WDS82
Y16B03P01BK,Y16B03P01BK,outer_bark,Y16,B03,P01,B03P01,B03P01BK,Y16B03P01,Y16BK,Y16B3P1BRKS88
Y16B03P01DM,Y16B03P01DM,dead_bryos,Y16,B03,P01,B03P01,B03P01DM,Y16B03P01,Y16DM,Y16B3P1DMS94
Y16B03P01LM,Y16B03P01LM,live_bryos,Y16,B03,P01,B03P01,B03P01LM,Y16B03P01,Y16LM,Y16B3P1LMS128
Y16B03P02BK,Y16B03P02BK,outer_bark,Y16,B03,P02,B03P02,B03P02BK,Y16B03P02,Y16BK,Y16B3P2BRKS8
Y16B03P02DM,Y16B03P02DM,dead_bryos,Y16,B03,P02,B03P02,B03P02DM,Y16B03P02,Y16DM,Y16B3P2DMS104
Y16B03P03WD,Y16B03P03WD,inner_bark,Y16,B03,P03,B03P03,B03P03WD,Y16B03P03,Y16WD,Y16B3P3WDS25
Y16B03P08DM,Y16B03P08DM,dead_bryos,Y16,B03,P08,B03P08,B03P08DM,Y16B03P08,Y16DM,Y16B3P8DMS114
Y16B03P08LM,Y16B03P08LM,live_bryos,Y16,B03,P08,B03P08,B03P08LM,Y16B03P08,Y16LM,Y16B3P8LMS137
Y16B03P13BK,Y16B03P13BK,outer_bark,Y16,B03,P13,B03P13,B03P13BK,Y16B03P13,Y16BK,Y16B3P13BRKS54
Y16B03P13DM,Y16B03P13DM,dead_bryos,Y16,B03,P13,B03P13,B03P13DM,Y16B03P13,Y16DM,Y16B3P13DMS124
Y16B03P13LM,Y16B03P13LM,live_bryos,Y16,B03,P13,B03P13,B03P13LM,Y16B03P13,Y16LM,Y16B3P13LMS147
Y16B03P14BK,Y16B03P14BK,outer_bark,Y16,B03,P14,B03P14,B03P14BK,Y16B03P14,Y16BK,Y16B3P14BRKS66
Y16B03P14DM,Y16B03P14DM,dead_bryos,Y16,B03,P14,B03P14,B03P14DM,Y16B03P14,Y16DM,Y16B3P14DMS133
Y16B03P14LM,Y16B03P14LM,live_bryos,Y16,B03,P14,B03P14,B03P14LM,Y16B03P14,Y16LM,Y16B3P14LMS157
Y16B03P15BK,Y16B03P15BK,outer_bark,Y16,B03,P15,B03P15,B03P15BK,Y16B03P15,Y16BK,Y16B3P15BRKS78
Y16B03P15DM,Y16B03P15DM,dead_bryos,Y16,B03,P15,B03P15,B03P15DM,Y16B03P15,Y16DM,Y16B3P15DMS142
Y16B03P15LM,Y16B03P15LM,live_bryos,Y16,B03,P15,B03P15,B03P15LM,Y16B03P15,Y16LM,Y16B3P15LMS167
Y16B03P15WD,Y16B03P15WD,inner_bark,Y16,B03,P15,B03P15,B03P15WD,Y16B03P15,Y16WD,Y16B3P15WDS83
Y16B03P20BK,Y16B03P20BK,outer_bark,Y16,B03,P20,B03P20,B03P20BK,Y16B03P20,Y16BK,Y16B3P20BRKS89
Y16B03P20DM,Y16B03P20DM,dead_bryos,Y16,B03,P20,B03P20,B03P20DM,Y16B03P20,Y16DM,Y16B3P20DMS152
Y16B03P20LM,Y16B03P20LM,live_bryos,Y16,B03,P20,B03P20,B03P20LM,Y16B03P20,Y16LM,Y16B3P20LMS100
Y16B03P24BK,Y16B03P24BK,outer_bark,Y16,B03,P24,B03P24,B03P24BK,Y16B03P24,Y16BK,Y16B3P24BRKS9
Y16B03P24DM,Y16B03P24DM,dead_bryos,Y16,B03,P24,B03P24,B03P24DM,Y16B03P24,Y16DM,Y16B3P24DMS162
Y16B03P24LM,Y16B03P24LM,live_bryos,Y16,B03,P24,B03P24,B03P24LM,Y16B03P24,Y16LM,Y16B3P24LMS110
Y16B03P24WD,Y16B03P24WD,inner_bark,Y16,B03,P24,B03P24,B03P24WD,Y16B03P24,Y16WD,Y16B3P24WDS15
Y16B03P25BK,Y16B03P25BK,outer_bark,Y16,B03,P25,B03P25,B03P25BK,Y16B03P25,Y16BK,Y16B3P25BRKS21
Y16B03P25LM,Y16B03P25LM,live_bryos,Y16,B03,P25,B03P25,B03P25LM,Y16B03P25,Y16LM,Y16B3P25LMS120
Y16B03P26BK,Y16B03P26BK,outer_bark,Y16,B03,P26,B03P26,B03P26BK,Y16B03P26,Y16BK,Y16B3P26BRKS32
Y16B03P26DM,Y16B03P26DM,dead_bryos,Y16,B03,P26,B03P26,B03P26DM,Y16B03P26,Y16DM,Y16B3P26DMS95
Y16B03P26LM,Y16B03P26LM,live_bryos,Y16,B03,P26,B03P26,B03P26LM,Y16B03P26,Y16LM,Y16B3P26LMS129
Y16B03P27BK,Y16B03P27BK,outer_bark,Y16,B03,P27,B03P27,B03P27BK,Y16B03P27,Y16BK,Y16B3P27BRKS43
Y16B03P27DM,Y16B03P27DM,dead_bryos,Y16,B03,P27,B03P27,B03P27DM,Y16B03P27,Y16DM,Y16B3P27DMS105
Y16B03P27LM,Y16B03P27LM,live_bryos,Y16,B03,P27,B03P27,B03P27LM,Y16B03P27,Y16LM,Y16B3P27LMS138
Y16B03P27WD,Y16B03P27WD,inner_bark,Y16,B03,P27,B03P27,B03P27WD,Y16B03P27,Y16WD,Y16B3P27WDS49
Y16B04P01BK,Y16B04P01BK,outer_bark,Y16,B04,P01,B04P01,B04P01BK,Y16B04P01,Y16BK,Y16B4P1BRKS55
Y16B04P01DM,Y16B04P01DM,dead_bryos,Y16,B04,P01,B04P01,B04P01DM,Y16B04P01,Y16DM,Y16B4P1DMS115
Y16B04P02BK,Y16B04P02BK,outer_bark,Y16,B04,P02,B04P02,B04P02BK,Y16B04P02,Y16BK,Y16B4P2BRKS67
Y16B04P02LM,Y16B04P02LM,live_bryos,Y16,B04,P02,B04P02,B04P02LM,Y16B04P02,Y16LM,Y16B4P2LMS148
Y16B04P03BK,Y16B04P03BK,outer_bark,Y16,B04,P03,B04P03,B04P03BK,Y16B04P03,Y16BK,Y16B4P3BRKS79
Y16B04P03LM,Y16B04P03LM,live_bryos,Y16,B04,P03,B04P03,B04P03LM,Y16B04P03,Y16LM,Y16B4P3LMS158
Y16B04P03WD,Y16B04P03WD,inner_bark,Y16,B04,P03,B04P03,B04P03WD,Y16B04P03,Y16WD,Y16B4P3WDS84
Y16B04P04BK,Y16B04P04BK,outer_bark,Y16,B04,P04,B04P04,B04P04BK,Y16B04P04,Y16BK,Y16B4P4BRKS90
Y16B04P04DM,Y16B04P04DM,dead_bryos,Y16,B04,P04,B04P04,B04P04DM,Y16B04P04,Y16DM,Y16B4P4DMS143
Y16B04P04LM,Y16B04P04LM,live_bryos,Y16,B04,P04,B04P04,B04P04LM,Y16B04P04,Y16LM,Y16B4P4LMS168
Y16B04P08BK,Y16B04P08BK,outer_bark,Y16,B04,P08,B04P08,B04P08BK,Y16B04P08,Y16BK,Y16B4P8BRKS10
Y16B04P08DM,Y16B04P08DM,dead_bryos,Y16,B04,P08,B04P08,B04P08DM,Y16B04P08,Y16DM,Y16B4P8DMS153
Y16B04P08LM,Y16B04P08LM,live_bryos,Y16,B04,P08,B04P08,B04P08LM,Y16B04P08,Y16LM,Y16B4P8LMS101
Y16B04P13DM,Y16B04P13DM,dead_bryos,Y16,B04,P13,B04P13,B04P13DM,Y16B04P13,Y16DM,Y16B4P13DMS163
Y16B04P13LM,Y16B04P13LM,live_bryos,Y16,B04,P13,B04P13,B04P13LM,Y16B04P13,Y16LM,Y16B4P13LMS111
Y16B04P13WD,Y16B04P13WD,inner_bark,Y16,B04,P13,B04P13,B04P13WD,Y16B04P13,Y16WD,Y16B4P13WDS27
Y16B04P14BK,Y16B04P14BK,outer_bark,Y16,B04,P14,B04P14,B04P14BK,Y16B04P14,Y16BK,Y16B4P14BRKS33
Y16B04P14DM,Y16B04P14DM,dead_bryos,Y16,B04,P14,B04P14,B04P14DM,Y16B04P14,Y16DM,Y16B4P14DMS96
Y16B04P15BK,Y16B04P15BK,outer_bark,Y16,B04,P15,B04P15,B04P15BK,Y16B04P15,Y16BK,Y16B4P15BRKS44
Y16B04P20BK,Y16B04P20BK,outer_bark,Y16,B04,P20,B04P20,B04P20BK,Y16B04P20,Y16BK,Y16B4P20BRKS56
Y16B04P20DM,Y16B04P20DM,dead_bryos,Y16,B04,P20,B04P20,B04P20DM,Y16B04P20,Y16DM,Y16B4P20DMS106
Y16B04P20LM,Y16B04P20LM,live_bryos,Y16,B04,P20,B04P20,B04P20LM,Y16B04P20,Y16LM,Y16B4P20LMS121
Y16B04P20WD,Y16B04P20WD,inner_bark,Y16,B04,P20,B04P20,B04P20WD,Y16B04P20,Y16WD,Y16B4P20WDS62
Y16B04P24BK,Y16B04P24BK,outer_bark,Y16,B04,P24,B04P24,B04P24BK,Y16B04P24,Y16BK,Y16B4P24BRKS68
Y16B04P24DM,Y16B04P24DM,dead_bryos,Y16,B04,P24,B04P24,B04P24DM,Y16B04P24,Y16DM,Y16B4P24DMS116
Y16B04P24LM,Y16B04P24LM,live_bryos,Y16,B04,P24,B04P24,B04P24LM,Y16B04P24,Y16LM,Y16B4P24LMS130
Y16B04P25BK,Y16B04P25BK,outer_bark,Y16,B04,P25,B04P25,B04P25BK,Y16B04P25,Y16BK,Y16B4P25BRKS80
Y16B04P25DM,Y16B04P25DM,dead_bryos,Y16,B04,P25,B04P25,B04P25DM,Y16B04P25,Y16DM,Y16B4P25DMS125
Y16B04P25LM,Y16B04P25LM,live_bryos,Y16,B04,P25,B04P25,B04P25LM,Y16B04P25,Y16LM,Y16B4P25LMS139
Y16B04P25WD,Y16B04P25WD,inner_bark,Y16,B04,P25,B04P25,B04P25WD,Y16B04P25,Y16WD,Y16B4P25WDS85
Y16B04P26BK,Y16B04P26BK,outer_bark,Y16,B04,P26,B04P26,B04P26BK,Y16B04P26,Y16BK,Y16B4P26BRKS91
Y16B04P26DM,Y16B04P26DM,dead_bryos,Y16,B04,P26,B04P26,B04P26DM,Y16B04P26,Y16DM,Y16B4P26DMAS134
Y16B04P26LM,Y16B04P26LM,live_bryos,Y16,B04,P26,B04P26,B04P26LM,Y16B04P26,Y16LM,Y16B4P26LMBS159
Y16B05P01BK,Y16B05P01BK,outer_bark,Y16,B05,P01,B05P01,B05P01BK,Y16B05P01,Y16BK,Y16B5P1BRKS11
Y16B05P01DM,Y16B05P01DM,dead_bryos,Y16,B05,P01,B05P01,B05P01DM,Y16B05P01,Y16DM,Y16B5P1DMS154
Y16B05P01LM,Y16B05P01LM,live_bryos,Y16,B05,P01,B05P01,B05P01LM,Y16B05P01,Y16LM,Y16B5P1LMS169
Y16B05P01WD,Y16B05P01WD,inner_bark,Y16,B05,P01,B05P01,B05P01WD,Y16B05P01,Y16WD,Y16B5P1WDS17
Y16B05P02BK,Y16B05P02BK,outer_bark,Y16,B05,P02,B05P02,B05P02BK,Y16B05P02,Y16BK,Y16B5P2BRKS22
Y16B05P02DM,Y16B05P02DM,dead_bryos,Y16,B05,P02,B05P02,B05P02DM,Y16B05P02,Y16DM,Y16B5P2DMS164
Y16B05P02WD,Y16B05P02WD,inner_bark,Y16,B05,P02,B05P02,B05P02WD,Y16B05P02,Y16WD,Y16B5P2WDS28
Y16B05P03BK,Y16B05P03BK,outer_bark,Y16,B05,P03,B05P03,B05P03BK,Y16B05P03,Y16BK,Y16B5P3BRKS34
Y16B05P03DM,Y16B05P03DM,dead_bryos,Y16,B05,P03,B05P03,B05P03DM,Y16B05P03,Y16DM,Y16B5P3DMS97
Y16B05P03WD,Y16B05P03WD,inner_bark,Y16,B05,P03,B05P03,B05P03WD,Y16B05P03,Y16WD,Y16B5P3WDS40
Y16B05P04BK,Y16B05P04BK,outer_bark,Y16,B05,P04,B05P04,B05P04BK,Y16B05P04,Y16BK,Y16B5P4BRKS45
Y16B05P04DM,Y16B05P04DM,dead_bryos,Y16,B05,P04,B05P04,B05P04DM,Y16B05P04,Y16DM,Y16B5P4DMS107
Y16B05P04WD,Y16B05P04WD,inner_bark,Y16,B05,P04,B05P04,B05P04WD,Y16B05P04,Y16WD,Y16B5P4WDS51
Y16B05P08BK,Y16B05P08BK,outer_bark,Y16,B05,P08,B05P08,B05P08BK,Y16B05P08,Y16BK,Y16B5P8BRKS57
Y16B05P08DM,Y16B05P08DM,dead_bryos,Y16,B05,P08,B05P08,B05P08DM,Y16B05P08,Y16DM,Y16B5P8DMS117
Y16B05P13BK,Y16B05P13BK,outer_bark,Y16,B05,P13,B05P13,B05P13BK,Y16B05P13,Y16BK,Y16B5P13BRKS69
Y16B05P13DM,Y16B05P13DM,dead_bryos,Y16,B05,P13,B05P13,B05P13DM,Y16B05P13,Y16DM,Y16B5P13DMS126
Y16B05P13LM,Y16B05P13LM,live_bryos,Y16,B05,P13,B05P13,B05P13LM,Y16B05P13,Y16LM,Y16B5P13LMS102
Y16B05P13WD,Y16B05P13WD,inner_bark,Y16,B05,P13,B05P13,B05P13WD,Y16B05P13,Y16WD,Y16B5P13WDS75
Y16B05P14BK,Y16B05P14BK,outer_bark,Y16,B05,P14,B05P14,B05P14BK,Y16B05P14,Y16BK,Y16B5P14BRKS81
Y16B05P14DM,Y16B05P14DM,dead_bryos,Y16,B05,P14,B05P14,B05P14DM,Y16B05P14,Y16DM,Y16B5P14DMS135
Y16B05P14WD,Y16B05P14WD,inner_bark,Y16,B05,P14,B05P14,B05P14WD,Y16B05P14,Y16WD,Y16B5P14WDS86
Y16B05P15BK,Y16B05P15BK,outer_bark,Y16,B05,P15,B05P15,B05P15BK,Y16B05P15,Y16BK,Y16B5P15BRKS92
Y16B05P15DM,Y16B05P15DM,dead_bryos,Y16,B05,P15,B05P15,B05P15DM,Y16B05P15,Y16DM,Y16B5P15DMS145
Y16B05P15LM,Y16B05P15LM,live_bryos,Y16,B05,P15,B05P15,B05P15LM,Y16B05P15,Y16LM,Y16B5P15LMS112
Y16B05P20BK,Y16B05P20BK,outer_bark,Y16,B05,P20,B05P20,B05P20BK,Y16B05P20,Y16BK,Y16B5P20BRKS12
Y16B05P20DM,Y16B05P20DM,dead_bryos,Y16,B05,P20,B05P20,B05P20DM,Y16B05P20,Y16DM,Y16B5P20DMS155
Y16B05P20LM,Y16B05P20LM,live_bryos,Y16,B05,P20,B05P20,B05P20LM,Y16B05P20,Y16LM,Y16B5P20LMS122
Y16B05P24BK,Y16B05P24BK,outer_bark,Y16,B05,P24,B05P24,B05P24BK,Y16B05P24,Y16BK,Y16B5P24BRKS23
Y16B05P24DM,Y16B05P24DM,dead_bryos,Y16,B05,P24,B05P24,B05P24DM,Y16B05P24,Y16DM,Y16B5P24DMS165
Y16B05P25BK,Y16B05P25BK,outer_bark,Y16,B05,P25,B05P25,B05P25BK,Y16B05P25,Y16BK,Y16B5P25BRKS35
Y16B05P25DM,Y16B05P25DM,dead_bryos,Y16,B05,P25,B05P25,B05P25DM,Y16B05P25,Y16DM,Y16B5P25DMS98
Y16B05P25LM,Y16B05P25LM,live_bryos,Y16,B05,P25,B05P25,B05P25LM,Y16B05P25,Y16LM,Y16B5P25LMS131
Y16B05P26BK,Y16B05P26BK,outer_bark,Y16,B05,P26,B05P26,B05P26BK,Y16B05P26,Y16BK,Y16B5P26BRKAS46
Y16B05P26DM,Y16B05P26DM,dead_bryos,Y16,B05,P26,B05P26,B05P26DM,Y16B05P26,Y16DM,Y16B5P26DMBS118
Y16B05P26WD,Y16B05P26WD,inner_bark,Y16,B05,P26,B05P26,B05P26WD,Y16B05P26,Y16WD,Y16B5P26WDBS64
Y16B05P27BK,Y16B05P27BK,outer_bark,Y16,B05,P27,B05P27,B05P27BK,Y16B05P27,Y16BK,Y16B5P27BRKS70
Y16B05P27DM,Y16B05P27DM,dead_bryos,Y16,B05,P27,B05P27,B05P27DM,Y16B05P27,Y16DM,Y16B5P27DMS127
Y16B05P27LM,Y16B05P27LM,live_bryos,Y16,B05,P27,B05P27,B05P27LM,Y16B05P27,Y16LM,Y16B5P27LMS140
Y16B05P27WD,Y16B05P27WD,inner_bark,Y16,B05,P27,B05P27,B05P27WD,Y16B05P27,Y16WD,Y16B5P27WDS76
Y17B02P01BK,Y17B02P01BK,outer_bark,Y17,B02,P01,B02P01,B02P01BK,Y17B02P01,Y17BK,Y17B02P1BKS144
Y17B02P01DM,Y17B02P01DM,dead_bryos,Y17,B02,P01,B02P01,B02P01DM,Y17B02P01,Y17DM,Y17B02P1DMS96
Y17B02P01LM,Y17B02P01LM,live_bryos,Y17,B02,P01,B02P01,B02P01LM,Y17B02P01,Y17LM,Y17B02P1LMS84
Y17B02P01WD,Y17B02P01WD,inner_bark,Y17,B02,P01,B02P01,B02P01WD,Y17B02P01,Y17WD,Y17B02P1WDS132
Y17B02P02BK,Y17B02P02BK,outer_bark,Y17,B02,P02,B02P02,B02P02BK,Y17B02P02,Y17BK,Y17B02P2BKS109
