,sample,substrate,year,branch,point,BP,BPS,YBP,YS,old_name
Y17B02P02DM,Y17B02P02DM,dead_bryos,Y17,B02,P02,B02P02,B02P02DM,Y17B02P02,Y17DM,Y17B02P2DMS120
Y17B02P02LM,Y17B02P02LM,live_bryos,Y17,B02,P02,B02P02,B02P02LM,Y17B02P02,Y17LM,Y17B02P2LMS108
Y17B02P02WD,Y17B02P02WD,inner_bark,Y17,B02,P02,B02P02,B02P02WD,Y17B02P02,Y17WD,Y17B02P2WDS97
Y17B02P03BK,Y17B02P03BK,outer_bark,Y17,B02,P03,B02P03,B02P03BK,Y17B02P03,Y17BK,Y17B02P3BKS86
Y17B02P03LM,Y17B02P03LM,live_bryos,Y17,B02,P03,B02P03,B02P03LM,Y17B02P03,Y17LM,Y17B02P3LMS156
Y17B02P03WD,Y17B02P03WD,inner_bark,Y17,B02,P03,B02P03,B02P03WD,Y17B02P03,Y17WD,Y17B02P3WDS169
Y17B02P04BK,Y17B02P04BK,outer_bark,Y17,B02,P04,B02P04,B02P04BK,Y17B02P04,Y17BK,Y17B02P4BKS146
Y17B02P04DM,Y17B02P04DM,dead_bryos,Y17,B02,P04,B02P04,B02P04DM,Y17B02P04,Y17DM,Y17B02P4DMS85
Y17B02P04LM,Y17B02P04LM,live_bryos,Y17,B02,P04,B02P04,B02P04LM,Y17B02P04,Y17LM,Y17B02P4LMS168
Y17B02P04WD,Y17B02P04WD,inner_bark,Y17,B02,P04,B02P04,B02P04WD,Y17B02P04,Y17WD,Y17B02P4WDS134
Y17B02P08BK,Y17B02P08BK,outer_bark,Y17,B02,P08,B02P08,B02P08BK,Y17B02P08,Y17BK,Y17B02P8BKS123
Y17B02P08DM,Y17B02P08DM,dead_bryos,Y17,B02,P08,B02P08,B02P08DM,Y17B02P08,Y17DM,Y17B02P8DMS133
Y17B02P08LM,Y17B02P08LM,live_bryos,Y17,B02,P08,B02P08,B02P08LM,Y17B02P08,Y17LM,Y17B02P8LMS121
Y17B02P08WD,Y17B02P08WD,inner_bark,Y17,B02,P08,B02P08,B02P08WD,Y17B02P08,Y17WD,Y17B02P8WDS111
Y17B02P13BK,Y17B02P13BK,outer_bark,Y17,B02,P13,B02P13,B02P13BK,Y17B02P13,Y17BK,Y17B02P13BKS171
Y17B02P13DM,Y17B02P13DM,dead_bryos,Y17,B02,P13,B02P13,B02P13DM,Y17B02P13,Y17DM,Y17B02P13DMS157
Y17B02P13LM,Y17B02P13LM,live_bryos,Y17,B02,P13,B02P13,B02P13LM,Y17B02P13,Y17LM,Y17B02P13LMS145
Y17B02P13WD,Y17B02P13WD,inner_bark,Y17,B02,P13,B02P13,B02P13WD,Y17B02P13,Y17WD,Y17B02P13WDS159
Y17B02P14BK,Y17B02P14BK,outer_bark,Y17,B02,P14,B02P14,B02P14BK,Y17B02P14,Y17BK,Y17B02P14BKS124
Y17B02P14DM,Y17B02P14DM,dead_bryos,Y17,B02,P14,B02P14,B02P14DM,Y17B02P14,Y17DM,Y17B02P14DMS110
Y17B02P14LM,Y17B02P14LM,live_bryos,Y17,B02,P14,B02P14,B02P14LM,Y17B02P14,Y17LM,Y17B02P14LMS98
Y17B02P14WD,Y17B02P14WD,inner_bark,Y17,B02,P14,B02P14,B02P14WD,Y17B02P14,Y17WD,Y17B02P14WDS112
Y17B02P15BK,Y17B02P15BK,outer_bark,Y17,B02,P15,B02P15,B02P15BK,Y17B02P15,Y17BK,Y17B02P15BKS148
Y17B02P15DM,Y17B02P15DM,dead_bryos,Y17,B02,P15,B02P15,B02P15DM,Y17B02P15,Y17DM,Y17B02P15DMS122
Y17B02P15WD,Y17B02P15WD,inner_bark,Y17,B02,P15,B02P15,B02P15WD,Y17B02P15,Y17WD,Y17B02P15WDS136
Y17B02P20BK,Y17B02P20BK,outer_bark,Y17,B02,P20,B02P20,B02P20BK,Y17B02P20,Y17BK,Y17B02P20BKS172
Y17B02P20DM,Y17B02P20DM,dead_bryos,Y17,B02,P20,B02P20,B02P20DM,Y17B02P20,Y17DM,Y17B02P20DMS170
Y17B02P20LM,Y17B02P20LM,live_bryos,Y17,B02,P20,B02P20,B02P20LM,Y17B02P20,Y17LM,Y17B02P20LMS158
Y17B02P24BK,Y17B02P24BK,outer_bark,Y17,B02,P24,B02P24,B02P24BK,Y17B02P24,Y17BK,Y17B02P24BKS101
Y17B02P24DM,Y17B02P24DM,dead_bryos,Y17,B02,P24,B02P24,B02P24DM,Y17B02P24,Y17DM,Y17B02P24DMS147
Y17B02P24LM,Y17B02P24LM,live_bryos,Y17,B02,P24,B02P24,B02P24LM,Y17B02P24,Y17LM,Y17B02P24LMS135
Y17B02P24WD,Y17B02P24WD,inner_bark,Y17,B02,P24,B02P24,B02P24WD,Y17B02P24,Y17WD,Y17B02P24WDS89
Y17B02P25BK,Y17B02P25BK,outer_bark,Y17,B02,P25,B02P25,B02P25BK,Y17B02P25,Y17BK,Y17B02P25BKS125
Y17B02P25DM,Y17B02P25DM,dead_bryos,Y17,B02,P25,B02P25,B02P25DM,Y17B02P25,Y17DM,Y17B02P25DMS99
Y17B02P25LM,Y17B02P25LM,live_bryos,Y17,B02,P25,B02P25,B02P25LM,Y17B02P25,Y17LM,Y17B02P25LMS87
Y17B02P26BK,Y17B02P26BK,outer_bark,Y17,B02,P26,B02P26,B02P26BK,Y17B02P26,Y17BK,Y17B02P26BKS149
Y17B02P26DM,Y17B02P26DM,dead_bryos,Y17,B02,P26,B02P26,B02P26DM,Y17B02P26,Y17DM,Y17B02P26DMS100
Y17B02P26LM,Y17B02P26LM,live_bryos,Y17,B02,P26,B02P26,B02P26LM,Y17B02P26,Y17LM,Y17B02P26LMS88
Y17B02P26WD,Y17B02P26WD,inner_bark,Y17,B02,P26,B02P26,B02P26WD,Y17B02P26,Y17WD,Y17B02P26WDS137
Y17B02P27BK,Y17B02P27BK,outer_bark,Y17,B02,P27,B02P27,B02P27BK,Y17B02P27,Y17BK,Y17B02P27BKS173
Y17B02P27WD,Y17B02P27WD,inner_bark,Y17,B02,P27,B02P27,B02P27WD,Y17B02P27,Y17WD,Y17B02P27WDS161
Y17B03P01BK,Y17B03P01BK,outer_bark,Y17,B03,P01,B03P01,B03P01BK,Y17B03P01,Y17BK,Y17B03P1BKS258
Y17B03P01DM,Y17B03P01DM,dead_bryos,Y17,B03,P01,B03P01,B03P01DM,Y17B03P01,Y17DM,Y17B03P1DMS196
Y17B03P01LM,Y17B03P01LM,live_bryos,Y17,B03,P01,B03P01,B03P01LM,Y17B03P01,Y17LM,Y17B03P1LMS184
Y17B03P02BK,Y17B03P02BK,outer_bark,Y17,B03,P02,B03P02,B03P02BK,Y17B03P02,Y17BK,Y17B03P2BKS188
Y17B03P02DM,Y17B03P02DM,dead_bryos,Y17,B03,P02,B03P02,B03P02DM,Y17B03P02,Y17DM,Y17B03P2DMS220
Y17B03P02LM,Y17B03P02LM,live_bryos,Y17,B03,P02,B03P02,B03P02LM,Y17B03P02,Y17LM,Y17B03P2LMS208
Y17B03P03BK,Y17B03P03BK,outer_bark,Y17,B03,P03,B03P03,B03P03BK,Y17B03P03,Y17BK,Y17B03P3BKS270
Y17B03P03DM,Y17B03P03DM,dead_bryos,Y17,B03,P03,B03P03,B03P03DM,Y17B03P03,Y17DM,Y17B03P3DMS221
Y17B03P03LM,Y17B03P03LM,live_bryos,Y17,B03,P03,B03P03,B03P03LM,Y17B03P03,Y17LM,Y17B03P3LMS209
Y17B03P04BK,Y17B03P04BK,outer_bark,Y17,B03,P04,B03P04,B03P04BK,Y17B03P04,Y17BK,Y17B03P4BKS189
Y17B03P04DM,Y17B03P04DM,dead_bryos,Y17,B03,P04,B03P04,B03P04DM,Y17B03P04,Y17DM,Y17B03P4DMS266
Y17B03P04LM,Y17B03P04LM,live_bryos,Y17,B03,P04,B03P04,B03P04LM,Y17B03P04,Y17LM,Y17B03P4LMS255
Y17B03P08BK,Y17B03P08BK,outer_bark,Y17,B03,P08,B03P08,B03P08BK,Y17B03P08,Y17BK,Y17B03P8BKS260
Y17B03P08DM,Y17B03P08DM,dead_bryos,Y17,B03,P08,B03P08,B03P08DM,Y17B03P08,Y17DM,Y17B03P8DMS245
Y17B03P08LM,Y17B03P08LM,live_bryos,Y17,B03,P08,B03P08,B03P08LM,Y17B03P08,Y17LM,Y17B03P8LMS233
Y17B03P13BK,Y17B03P13BK,outer_bark,Y17,B03,P13,B03P13,B03P13BK,Y17B03P13,Y17BK,Y17B03P13BKS213
Y17B03P13DM,Y17B03P13DM,dead_bryos,Y17,B03,P13,B03P13,B03P13DM,Y17B03P13,Y17DM,Y17B03P13DMS222
Y17B03P13LM,Y17B03P13LM,live_bryos,Y17,B03,P13,B03P13,B03P13LM,Y17B03P13,Y17LM,Y17B03P13LMS210
Y17B03P14BK,Y17B03P14BK,outer_bark,Y17,B03,P14,B03P14,B03P14BK,Y17B03P14,Y17BK,Y17B03P14BKS237
Y17B03P14DM,Y17B03P14DM,dead_bryos,Y17,B03,P14,B03P14,B03P14DM,Y17B03P14,Y17DM,Y17B03P14DMS246
Y17B03P14LM,Y17B03P14LM,live_bryos,Y17,B03,P14,B03P14,B03P14LM,Y17B03P14,Y17LM,Y17B03P14LMS234
Y17B03P15BK,Y17B03P15BK,outer_bark,Y17,B03,P15,B03P15,B03P15BK,Y17B03P15,Y17BK,Y17B03P15BKS238
Y17B03P15DM,Y17B03P15DM,dead_bryos,Y17,B03,P15,B03P15,B03P15DM,Y17B03P15,Y17DM,Y17B03P15DMS199
Y17B03P15LM,Y17B03P15LM,live_bryos,Y17,B03,P15,B03P15,B03P15LM,Y17B03P15,Y17LM,Y17B03P15LMS187
Y17B03P15WD,Y17B03P15WD,inner_bark,Y17,B03,P15,B03P15,B03P15WD,Y17B03P15,Y17WD,Y17B03P15WDS249
Y17B03P20BK,Y17B03P20BK,outer_bark,Y17,B03,P20,B03P20,B03P20BK,Y17B03P20,Y17BK,Y17B03P20BKS190
Y17B03P20DM,Y17B03P20DM,dead_bryos,Y17,B03,P20,B03P20,B03P20DM,Y17B03P20,Y17DM,Y17B03P20DMS211
Y17B03P24BK,Y17B03P24BK,outer_bark,Y17,B03,P24,B03P24,B03P24BK,Y17B03P24,Y17BK,Y17B03P24BKS226
Y17B03P24DM,Y17B03P24DM,dead_bryos,Y17,B03,P24,B03P24,B03P24DM,Y17B03P24,Y17DM,Y17B03P24DMS235
Y17B03P24LM,Y17B03P24LM,live_bryos,Y17,B03,P24,B03P24,B03P24LM,Y17B03P24,Y17LM,Y17B03P24LMS223
Y17B03P25BK,Y17B03P25BK,outer_bark,Y17,B03,P25,B03P25,B03P25BK,Y17B03P25,Y17BK,Y17B03P25BKS191
Y17B03P25DM,Y17B03P25DM,dead_bryos,Y17,B03,P25,B03P25,B03P25DM,Y17B03P25,Y17DM,Y17B03P25DMS212
Y17B03P25LM,Y17B03P25LM,live_bryos,Y17,B03,P25,B03P25,B03P25LM,Y17B03P25,Y17LM,Y17B03P25LMS200
Y17B03P25WD,Y17B03P25WD,inner_bark,Y17,B03,P25,B03P25,B03P25WD,Y17B03P25,Y17WD,Y17B03P25WDS203
Y17B03P26BK,Y17B03P26BK,outer_bark,Y17,B03,P26,B03P26,B03P26BK,Y17B03P26,Y17BK,Y17B03P26BKS272
Y17B03P26DM,Y17B03P26DM,dead_bryos,Y17,B03,P26,B03P26,B03P26DM,Y17B03P26,Y17DM,Y17B03P26DMS247
Y17B03P26LM,Y17B03P26LM,live_bryos,Y17,B03,P26,B03P26,B03P26LM,Y17B03P26,Y17LM,Y17B03P26LMS224
Y17B03P27BK,Y17B03P27BK,outer_bark,Y17,B03,P27,B03P27,B03P27BK,Y17B03P27,Y17BK,Y17B03P27BKS215
Y17B03P27LM,Y17B03P27LM,live_bryos,Y17,B03,P27,B03P27,B03P27LM,Y17B03P27,Y17LM,Y17B03P27LMS236
Y17B03P27WD,Y17B03P27WD,inner_bark,Y17,B03,P27,B03P27,B03P27WD,Y17B03P27,Y17WD,Y17B03P27WDS227
Y17B04P01BK,Y17B04P01BK,outer_bark,Y17,B04,P01,B04P01,B04P01BK,Y17B04P01,Y17BK,Y17B04P1BKS263
Y17B04P01DM,Y17B04P01DM,dead_bryos,Y17,B04,P01,B04P01,B04P01DM,Y17B04P01,Y17DM,Y17B04P1DMS143
Y17B04P02BK,Y17B04P02BK,outer_bark,Y17,B04,P02,B04P02,B04P02BK,Y17B04P02,Y17BK,Y17B04P2BKS217
Y17B04P02DM,Y17B04P02DM,dead_bryos,Y17,B04,P02,B04P02,B04P02DM,Y17B04P02,Y17DM,Y17B04P2DMS167
Y17B04P02LM,Y17B04P02LM,live_bryos,Y17,B04,P02,B04P02,B04P02LM,Y17B04P02,Y17LM,Y17B04P2LMS155
Y17B04P03DM,Y17B04P03DM,dead_bryos,Y17,B04,P03,B04P03,B04P03DM,Y17B04P03,Y17DM,Y17B04P3DMS240
Y17B04P04BK,Y17B04P04BK,outer_bark,Y17,B04,P04,B04P04,B04P04BK,Y17B04P04,Y17BK,Y17B04P4BKS218
Y17B04P04DM,Y17B04P04DM,dead_bryos,Y17,B04,P04,B04P04,B04P04DM,Y17B04P04,Y17DM,Y17B04P4DMS228
Y17B04P04LM,Y17B04P04LM,live_bryos,Y17,B04,P04,B04P04,B04P04LM,Y17B04P04,Y17LM,Y17B04P4LMS216
Y17B04P08BK,Y17B04P08BK,outer_bark,Y17,B04,P08,B04P08,B04P08BK,Y17B04P08,Y17BK,Y17B04P8BKS183
Y17B04P08DM,Y17B04P08DM,dead_bryos,Y17,B04,P08,B04P08,B04P08DM,Y17B04P08,Y17DM,Y17B04P8DMS193
Y17B04P08LM,Y17B04P08LM,live_bryos,Y17,B04,P08,B04P08,B04P08LM,Y17B04P08,Y17LM,Y17B04P8LMS181
Y17B04P13DM,Y17B04P13DM,dead_bryos,Y17,B04,P13,B04P13,B04P13DM,Y17B04P13,Y17DM,Y17B04P2DMS241
Y17B04P13LM,Y17B04P13LM,live_bryos,Y17,B04,P13,B04P13,B04P13LM,Y17B04P013,Y17LM,Y17B04P2LMS229
Y17B04P14BK,Y17B04P14BK,outer_bark,Y17,B04,P14,B04P14,B04P14BK,Y17B04P14,Y17BK,Y17B04P14BKS207
Y17B04P14DM,Y17B04P14DM,dead_bryos,Y17,B04,P14,B04P14,B04P14DM,Y17B04P14,Y17DM,Y17B04P14DMS194
Y17B04P14LM,Y17B04P14LM,live_bryos,Y17,B04,P14,B04P14,B04P14LM,Y17B04P14,Y17LM,Y17B04P14LMS182
Y17B04P15BK,Y17B04P15BK,outer_bark,Y17,B04,P15,B04P15,B04P15BK,Y17B04P15,Y17BK,Y17B04P15BKS244
Y17B04P15LM,Y17B04P15LM,live_bryos,Y17,B04,P15,B04P15,B04P15LM,Y17B04P15,Y17LM,Y17B04P15LMS253
Y17B04P20BK,Y17B04P20BK,outer_bark,Y17,B04,P20,B04P20,B04P20BK,Y17B04P20,Y17BK,Y17B04P20BKS197
Y17B04P20DM,Y17B04P20DM,dead_bryos,Y17,B04,P20,B04P20,B04P20DM,Y17B04P20,Y17DM,Y17B04P20DMS242
Y17B04P20LM,Y17B04P20LM,live_bryos,Y17,B04,P20,B04P20,B04P20LM,Y17B04P20,Y17LM,Y17B04P20LMS230
Y17B04P24BK,Y17B04P24BK,outer_bark,Y17,B04,P24,B04P24,B04P24BK,Y17B04P24,Y17BK,Y17B04P24BKS267
Y17B04P25BK,Y17B04P25BK,outer_bark,Y17,B04,P25,B04P25,B04P25BK,Y17B04P25,Y17BK,Y17B04P25BKS198
Y17B04P25DM,Y17B04P25DM,dead_bryos,Y17,B04,P25,B04P25,B04P25DM,Y17B04P25,Y17DM,Y17B04P25DMS231
Y17B04P25LM,Y17B04P25LM,live_bryos,Y17,B04,P25,B04P25,B04P25LM,Y17B04P25,Y17LM,Y17B04P25LMS219
Y17B04P26BK,Y17B04P26BK,outer_bark,Y17,B04,P26,B04P26,B04P26BK,Y17B04P26,Y17BK,Y17B04P26BKS268
Y17B04P26DM,Y17B04P26DM,dead_bryos,Y17,B04,P26,B04P26,B04P26DM,Y17B04P26,Y17DM,Y17B04P26DMS243
Y17B05P01BK,Y17B05P01BK,outer_bark,Y17,B05,P01,B05P01,B05P01BK,Y17B05P01,Y17BK,Y17B05P1BKS174
Y17B05P01DM,Y17B05P01DM,dead_bryos,Y17,B05,P01,B05P01,B05P01DM,Y17B05P01,Y17DM,Y17B05P1DMS126
Y17B05P01LM,Y17B05P01LM,live_bryos,Y17,B05,P01,B05P01,B05P01LM,Y17B05P01,Y17LM,Y17B05P1LMS114
Y17B05P01WD,Y17B05P01WD,inner_bark,Y17,B05,P01,B05P01,B05P01WD,Y17B05P01,Y17WD,Y17B05P1WDS162
Y17B05P02BK,Y17B05P02BK,outer_bark,Y17,B05,P02,B05P02,B05P02BK,Y17B05P02,Y17BK,Y17B05P2BKS102
Y17B05P02DM,Y17B05P02DM,dead_bryos,Y17,B05,P02,B05P02,B05P02DM,Y17B05P02,Y17DM,Y17B05P2DMS150
Y17B05P02LM,Y17B05P02LM,live_bryos,Y17,B05,P02,B05P02,B05P02LM,Y17B05P02,Y17LM,Y17B05P2LMS138
Y17B05P02WD,Y17B05P02WD,inner_bark,Y17,B05,P02,B05P02,B05P02WD,Y17B05P02,Y17WD,Y17B05P2WDS90
Y17B05P03BK,Y17B05P03BK,outer_bark,Y17,B05,P03,B05P03,B05P03BK,Y17B05P03,Y17BK,Y17B05P3BKS127
Y17B05P03DM,Y17B05P03DM,dead_bryos,Y17,B05,P03,B05P03,B05P03DM,Y17B05P03,Y17DM,Y17B05P3DMS103
Y17B05P03LM,Y17B05P03LM,live_bryos,Y17,B05,P03,B05P03,B05P03LM,Y17B05P03,Y17LM,Y17B05P3LMS91
Y17B05P03WD,Y17B05P03WD,inner_bark,Y17,B05,P03,B05P03,B05P03WD,Y17B05P03,Y17WD,Y17B05P3WDS115
Y17B05P04BK,Y17B05P04BK,outer_bark,Y17,B05,P04,B05P04,B05P04BK,Y17B05P04,Y17BK,Y17B05P4BKS175
Y17B05P04DM,Y17B05P04DM,dead_bryos,Y17,B05,P04,B05P04,B05P04DM,Y17B05P04,Y17DM,Y17B05P4DMS151
Y17B05P04LM,Y17B05P04LM,live_bryos,Y17,B05,P04,B05P04,B05P04LM,Y17B05P04,Y17LM,Y17B05P4LMS139
Y17B05P04WD,Y17B05P04WD,inner_bark,Y17,B05,P04,B05P04,B05P04WD,Y17B05P04,Y17WD,Y17B05P4WDS163
Y17B05P08BK,Y17B05P08BK,outer_bark,Y17,B05,P08,B05P08,B05P08BK,Y17B05P08,Y17BK,Y17B05P8BKS128
Y17B05P08DM,Y17B05P08DM,dead_bryos,Y17,B05,P08,B05P08,B05P08DM,Y17B05P08,Y17DM,Y17B05P8DMS104
Y17B05P08LM,Y17B05P08LM,live_bryos,Y17,B05,P08,B05P08,B05P08LM,Y17B05P08,Y17LM,Y17B05P8LMS92
Y17B05P08WD,Y17B05P08WD,inner_bark,Y17,B05,P08,B05P08,B05P08WD,Y17B05P08,Y17WD,Y17B05P8WDS116
Y17B05P13BK,Y17B05P13BK,outer_bark,Y17,B05,P13,B05P13,B05P13BK,Y17B05P13,Y17BK,Y17B05P13BKS176
Y17B05P13DM,Y17B05P13DM,dead_bryos,Y17,B05,P13,B05P13,B05P13DM,Y17B05P13,Y17DM,Y17B05P13DMS152
Y17B05P13LM,Y17B05P13LM,live_bryos,Y17,B05,P13,B05P13,B05P13LM,Y17B05P13,Y17LM,Y17B05P13LMS140
Y17B05P13WD,Y17B05P13WD,inner_bark,Y17,B05,P13,B05P13,B05P13WD,Y17B05P13,Y17WD,Y17B05P13WDS164
Y17B05P14BK,Y17B05P14BK,outer_bark,Y17,B05,P14,B05P14,B05P14BK,Y17B05P14,Y17BK,Y17B05P14BKS129
Y17B05P14DM,Y17B05P14DM,dead_bryos,Y17,B05,P14,B05P14,B05P14DM,Y17B05P14,Y17DM,Y17B05P14DMS105
Y17B05P14LM,Y17B05P14LM,live_bryos,Y17,B05,P14,B05P14,B05P14LM,Y17B05P14,Y17LM,Y17B05P14LMS93
Y17B05P15BK,Y17B05P15BK,outer_bark,Y17,B05,P15,B05P15,B05P15BK,Y17B05P15,Y17BK,Y17B05P15BKS106
Y17B05P15DM,Y17B05P15DM,dead_bryos,Y17,B05,P15,B05P15,B05P15DM,Y17B05P15,Y17DM,Y17B05P15DMS153
Y17B05P15LM,Y17B05P15LM,live_bryos,Y17,B05,P15,B05P15,B05P15LM,Y17B05P15,Y17LM,Y17B05P15LMS141
Y17B05P15WD,Y17B05P15WD,inner_bark,Y17,B05,P15,B05P15,B05P15WD,Y17B05P15,Y17WD,Y17B05P15WDS94
Y17B05P20BK,Y17B05P20BK,outer_bark,Y17,B05,P20,B05P20,B05P20BK,Y17B05P20,Y17BK,Y17B05P20BKS178
Y17B05P20DM,Y17B05P20DM,dead_bryos,Y17,B05,P20,B05P20,B05P20DM,Y17B05P20,Y17DM,Y17B05P20DMS177
Y17B05P20LM,Y17B05P20LM,live_bryos,Y17,B05,P20,B05P20,B05P20LM,Y17B05P20,Y17LM,Y17B05P20LMS165
Y17B05P20WD,Y17B05P20WD,inner_bark,Y17,B05,P20,B05P20,B05P20WD,Y17B05P20,Y17WD,Y17B05P20WDS166
Y17B05P24BK,Y17B05P24BK,outer_bark,Y17,B05,P24,B05P24,B05P24BK,Y17B05P24,Y17BK,Y17B05P24BKS131
Y17B05P24DM,Y17B05P24DM,dead_bryos,Y17,B05,P24,B05P24,B05P24DM,Y17B05P24,Y17DM,Y17B05P24DMS154
Y17B05P24LM,Y17B05P24LM,live_bryos,Y17,B05,P24,B05P24,B05P24LM,Y17B05P24,Y17LM,Y17B05P24LMS142
Y17B05P24WD,Y17B05P24WD,inner_bark,Y17,B05,P24,B05P24,B05P24WD,Y17B05P24,Y17WD,Y17B05P24WDS119
Y17B05P25BK,Y17B05P25BK,outer_bark,Y17,B05,P25,B05P25,B05P25BK,Y17B05P25,Y17BK,Y17B05P25BKS180
Y17B05P25DM,Y17B05P25DM,dead_bryos,Y17,B05,P25,B05P25,B05P25DM,Y17B05P25,Y17DM,Y17B05P25DMS130
Y17B05P25LM,Y17B05P25LM,live_bryos,Y17,B05,P25,B05P25,B05P25LM,Y17B05P25,Y17LM,Y17B05P25LMS118
Y17B05P25WD,Y17B05P25WD,inner_bark,Y17,B05,P25,B05P25,B05P25WD,Y17B05P25,Y17WD,Y17B05P25WDS179
Y17B05P26BK,Y17B05P26BK,outer_bark,Y17,B05,P26,B05P26,B05P26BK,Y17B05P26,Y17BK,Y17B05P26BKS204
Y17B05P26DM,Y17B05P26DM,dead_bryos,Y17,B05,P26,B05P26,B05P26DM,Y17B05P26,Y17DM,Y17B05P26DMS107
Y17B05P26LM,Y17B05P26LM,live_bryos,Y17,B05,P26,B05P26,B05P26LM,Y17B05P26,Y17LM,Y17B05P26LMS95
